"date_id";"date";"day";"month";"month_name";"quarter";"year";"day_of_week";"day_name";"is_weekend";"is_holiday"
1;"2022-01-01";1;1;"January";1;2022;5;"Saturday";1;0
2;"2022-01-02";2;1;"January";1;2022;6;"Sunday";1;0
3;"2022-01-03";3;1;"January";1;2022;0;"Monday";0;1
4;"2022-01-04";4;1;"January";1;2022;1;"Tuesday";0;0
5;"2022-01-05";5;1;"January";1;2022;2;"Wednesday";0;0
6;"2022-01-06";6;1;"January";1;2022;3;"Thursday";0;0
7;"2022-01-07";7;1;"January";1;2022;4;"Friday";0;0
8;"2022-01-08";8;1;"January";1;2022;5;"Saturday";1;1
9;"2022-01-09";9;1;"January";1;2022;6;"Sunday";1;0
10;"2022-01-10";10;1;"January";1;2022;0;"Monday";0;0
11;"2022-01-11";11;1;"January";1;2022;1;"Tuesday";0;0
12;"2022-01-12";12;1;"January";1;2022;2;"Wednesday";0;0
13;"2022-01-13";13;1;"January";1;2022;3;"Thursday";0;0
14;"2022-01-14";14;1;"January";1;2022;4;"Friday";0;0
15;"2022-01-15";15;1;"January";1;2022;5;"Saturday";1;0
16;"2022-01-16";16;1;"January";1;2022;6;"Sunday";1;0
17;"2022-01-17";17;1;"January";1;2022;0;"Monday";0;0
18;"2022-01-18";18;1;"January";1;2022;1;"Tuesday";0;0
19;"2022-01-19";19;1;"January";1;2022;2;"Wednesday";0;0
20;"2022-01-20";20;1;"January";1;2022;3;"Thursday";0;0
21;"2022-01-21";21;1;"January";1;2022;4;"Friday";0;0
22;"2022-01-22";22;1;"January";1;2022;5;"Saturday";1;0
23;"2022-01-23";23;1;"January";1;2022;6;"Sunday";1;0
24;"2022-01-24";24;1;"January";1;2022;0;"Monday";0;0
25;"2022-01-25";25;1;"January";1;2022;1;"Tuesday";0;0
26;"2022-01-26";26;1;"January";1;2022;2;"Wednesday";0;0
27;"2022-01-27";27;1;"January";1;2022;3;"Thursday";0;0
28;"2022-01-28";28;1;"January";1;2022;4;"Friday";0;0
29;"2022-01-29";29;1;"January";1;2022;5;"Saturday";1;0
30;"2022-01-30";30;1;"January";1;2022;6;"Sunday";1;0
31;"2022-01-31";31;1;"January";1;2022;0;"Monday";0;0
32;"2022-02-01";1;2;"February";1;2022;1;"Tuesday";0;0
33;"2022-02-02";2;2;"February";1;2022;2;"Wednesday";0;0
34;"2022-02-03";3;2;"February";1;2022;3;"Thursday";0;0
35;"2022-02-04";4;2;"February";1;2022;4;"Friday";0;0
36;"2022-02-05";5;2;"February";1;2022;5;"Saturday";1;0
37;"2022-02-06";6;2;"February";1;2022;6;"Sunday";1;0
38;"2022-02-07";7;2;"February";1;2022;0;"Monday";0;0
39;"2022-02-08";8;2;"February";1;2022;1;"Tuesday";0;1
40;"2022-02-09";9;2;"February";1;2022;2;"Wednesday";0;0
41;"2022-02-10";10;2;"February";1;2022;3;"Thursday";0;0
42;"2022-02-11";11;2;"February";1;2022;4;"Friday";0;0
43;"2022-02-12";12;2;"February";1;2022;5;"Saturday";1;0
44;"2022-02-13";13;2;"February";1;2022;6;"Sunday";1;0
45;"2022-02-14";14;2;"February";1;2022;0;"Monday";0;0
46;"2022-02-15";15;2;"February";1;2022;1;"Tuesday";0;0
47;"2022-02-16";16;2;"February";1;2022;2;"Wednesday";0;1
48;"2022-02-17";17;2;"February";1;2022;3;"Thursday";0;1
49;"2022-02-18";18;2;"February";1;2022;4;"Friday";0;0
50;"2022-02-19";19;2;"February";1;2022;5;"Saturday";1;0
51;"2022-02-20";20;2;"February";1;2022;6;"Sunday";1;1
52;"2022-02-21";21;2;"February";1;2022;0;"Monday";0;0
53;"2022-02-22";22;2;"February";1;2022;1;"Tuesday";0;0
54;"2022-02-23";23;2;"February";1;2022;2;"Wednesday";0;0
55;"2022-02-24";24;2;"February";1;2022;3;"Thursday";0;0
56;"2022-02-25";25;2;"February";1;2022;4;"Friday";0;0
57;"2022-02-26";26;2;"February";1;2022;5;"Saturday";1;1
58;"2022-02-27";27;2;"February";1;2022;6;"Sunday";1;0
59;"2022-02-28";28;2;"February";1;2022;0;"Monday";0;0
60;"2022-03-01";1;3;"March";1;2022;1;"Tuesday";0;0
61;"2022-03-02";2;3;"March";1;2022;2;"Wednesday";0;0
62;"2022-03-03";3;3;"March";1;2022;3;"Thursday";0;0
63;"2022-03-04";4;3;"March";1;2022;4;"Friday";0;1
64;"2022-03-05";5;3;"March";1;2022;5;"Saturday";1;0
65;"2022-03-06";6;3;"March";1;2022;6;"Sunday";1;1
66;"2022-03-07";7;3;"March";1;2022;0;"Monday";0;0
67;"2022-03-08";8;3;"March";1;2022;1;"Tuesday";0;0
68;"2022-03-09";9;3;"March";1;2022;2;"Wednesday";0;0
69;"2022-03-10";10;3;"March";1;2022;3;"Thursday";0;0
70;"2022-03-11";11;3;"March";1;2022;4;"Friday";0;0
71;"2022-03-12";12;3;"March";1;2022;5;"Saturday";1;0
72;"2022-03-13";13;3;"March";1;2022;6;"Sunday";1;0
73;"2022-03-14";14;3;"March";1;2022;0;"Monday";0;0
74;"2022-03-15";15;3;"March";1;2022;1;"Tuesday";0;0
75;"2022-03-16";16;3;"March";1;2022;2;"Wednesday";0;0
76;"2022-03-17";17;3;"March";1;2022;3;"Thursday";0;0
77;"2022-03-18";18;3;"March";1;2022;4;"Friday";0;0
78;"2022-03-19";19;3;"March";1;2022;5;"Saturday";1;0
79;"2022-03-20";20;3;"March";1;2022;6;"Sunday";1;0
80;"2022-03-21";21;3;"March";1;2022;0;"Monday";0;0
81;"2022-03-22";22;3;"March";1;2022;1;"Tuesday";0;0
82;"2022-03-23";23;3;"March";1;2022;2;"Wednesday";0;0
83;"2022-03-24";24;3;"March";1;2022;3;"Thursday";0;0
84;"2022-03-25";25;3;"March";1;2022;4;"Friday";0;0
85;"2022-03-26";26;3;"March";1;2022;5;"Saturday";1;0
86;"2022-03-27";27;3;"March";1;2022;6;"Sunday";1;0
87;"2022-03-28";28;3;"March";1;2022;0;"Monday";0;0
88;"2022-03-29";29;3;"March";1;2022;1;"Tuesday";0;0
89;"2022-03-30";30;3;"March";1;2022;2;"Wednesday";0;0
90;"2022-03-31";31;3;"March";1;2022;3;"Thursday";0;0
91;"2022-04-01";1;4;"April";2;2022;4;"Friday";0;0
92;"2022-04-02";2;4;"April";2;2022;5;"Saturday";1;0
93;"2022-04-03";3;4;"April";2;2022;6;"Sunday";1;0
94;"2022-04-04";4;4;"April";2;2022;0;"Monday";0;0
95;"2022-04-05";5;4;"April";2;2022;1;"Tuesday";0;0
96;"2022-04-06";6;4;"April";2;2022;2;"Wednesday";0;0
97;"2022-04-07";7;4;"April";2;2022;3;"Thursday";0;0
98;"2022-04-08";8;4;"April";2;2022;4;"Friday";0;0
99;"2022-04-09";9;4;"April";2;2022;5;"Saturday";1;0
100;"2022-04-10";10;4;"April";2;2022;6;"Sunday";1;0
101;"2022-04-11";11;4;"April";2;2022;0;"Monday";0;0
102;"2022-04-12";12;4;"April";2;2022;1;"Tuesday";0;0
103;"2022-04-13";13;4;"April";2;2022;2;"Wednesday";0;0
104;"2022-04-14";14;4;"April";2;2022;3;"Thursday";0;0
105;"2022-04-15";15;4;"April";2;2022;4;"Friday";0;0
106;"2022-04-16";16;4;"April";2;2022;5;"Saturday";1;0
107;"2022-04-17";17;4;"April";2;2022;6;"Sunday";1;0
108;"2022-04-18";18;4;"April";2;2022;0;"Monday";0;0
109;"2022-04-19";19;4;"April";2;2022;1;"Tuesday";0;0
110;"2022-04-20";20;4;"April";2;2022;2;"Wednesday";0;0
111;"2022-04-21";21;4;"April";2;2022;3;"Thursday";0;0
112;"2022-04-22";22;4;"April";2;2022;4;"Friday";0;0
113;"2022-04-23";23;4;"April";2;2022;5;"Saturday";1;0
114;"2022-04-24";24;4;"April";2;2022;6;"Sunday";1;0
115;"2022-04-25";25;4;"April";2;2022;0;"Monday";0;0
116;"2022-04-26";26;4;"April";2;2022;1;"Tuesday";0;0
117;"2022-04-27";27;4;"April";2;2022;2;"Wednesday";0;0
118;"2022-04-28";28;4;"April";2;2022;3;"Thursday";0;0
119;"2022-04-29";29;4;"April";2;2022;4;"Friday";0;0
120;"2022-04-30";30;4;"April";2;2022;5;"Saturday";1;0
121;"2022-05-01";1;5;"May";2;2022;6;"Sunday";1;0
122;"2022-05-02";2;5;"May";2;2022;0;"Monday";0;0
123;"2022-05-03";3;5;"May";2;2022;1;"Tuesday";0;0
124;"2022-05-04";4;5;"May";2;2022;2;"Wednesday";0;0
125;"2022-05-05";5;5;"May";2;2022;3;"Thursday";0;0
126;"2022-05-06";6;5;"May";2;2022;4;"Friday";0;0
127;"2022-05-07";7;5;"May";2;2022;5;"Saturday";1;0
128;"2022-05-08";8;5;"May";2;2022;6;"Sunday";1;0
129;"2022-05-09";9;5;"May";2;2022;0;"Monday";0;0
130;"2022-05-10";10;5;"May";2;2022;1;"Tuesday";0;0
131;"2022-05-11";11;5;"May";2;2022;2;"Wednesday";0;0
132;"2022-05-12";12;5;"May";2;2022;3;"Thursday";0;0
133;"2022-05-13";13;5;"May";2;2022;4;"Friday";0;0
134;"2022-05-14";14;5;"May";2;2022;5;"Saturday";1;0
135;"2022-05-15";15;5;"May";2;2022;6;"Sunday";1;0
136;"2022-05-16";16;5;"May";2;2022;0;"Monday";0;0
137;"2022-05-17";17;5;"May";2;2022;1;"Tuesday";0;0
138;"2022-05-18";18;5;"May";2;2022;2;"Wednesday";0;0
139;"2022-05-19";19;5;"May";2;2022;3;"Thursday";0;0
140;"2022-05-20";20;5;"May";2;2022;4;"Friday";0;0
141;"2022-05-21";21;5;"May";2;2022;5;"Saturday";1;0
142;"2022-05-22";22;5;"May";2;2022;6;"Sunday";1;0
143;"2022-05-23";23;5;"May";2;2022;0;"Monday";0;0
144;"2022-05-24";24;5;"May";2;2022;1;"Tuesday";0;0
145;"2022-05-25";25;5;"May";2;2022;2;"Wednesday";0;0
146;"2022-05-26";26;5;"May";2;2022;3;"Thursday";0;0
147;"2022-05-27";27;5;"May";2;2022;4;"Friday";0;0
148;"2022-05-28";28;5;"May";2;2022;5;"Saturday";1;0
149;"2022-05-29";29;5;"May";2;2022;6;"Sunday";1;0
150;"2022-05-30";30;5;"May";2;2022;0;"Monday";0;0
151;"2022-05-31";31;5;"May";2;2022;1;"Tuesday";0;0
152;"2022-06-01";1;6;"June";2;2022;2;"Wednesday";0;0
153;"2022-06-02";2;6;"June";2;2022;3;"Thursday";0;0
154;"2022-06-03";3;6;"June";2;2022;4;"Friday";0;0
155;"2022-06-04";4;6;"June";2;2022;5;"Saturday";1;0
156;"2022-06-05";5;6;"June";2;2022;6;"Sunday";1;0
157;"2022-06-06";6;6;"June";2;2022;0;"Monday";0;0
158;"2022-06-07";7;6;"June";2;2022;1;"Tuesday";0;0
159;"2022-06-08";8;6;"June";2;2022;2;"Wednesday";0;0
160;"2022-06-09";9;6;"June";2;2022;3;"Thursday";0;0
161;"2022-06-10";10;6;"June";2;2022;4;"Friday";0;1
162;"2022-06-11";11;6;"June";2;2022;5;"Saturday";1;0
163;"2022-06-12";12;6;"June";2;2022;6;"Sunday";1;0
164;"2022-06-13";13;6;"June";2;2022;0;"Monday";0;0
165;"2022-06-14";14;6;"June";2;2022;1;"Tuesday";0;0
166;"2022-06-15";15;6;"June";2;2022;2;"Wednesday";0;0
167;"2022-06-16";16;6;"June";2;2022;3;"Thursday";0;0
168;"2022-06-17";17;6;"June";2;2022;4;"Friday";0;0
169;"2022-06-18";18;6;"June";2;2022;5;"Saturday";1;0
170;"2022-06-19";19;6;"June";2;2022;6;"Sunday";1;0
171;"2022-06-20";20;6;"June";2;2022;0;"Monday";0;0
172;"2022-06-21";21;6;"June";2;2022;1;"Tuesday";0;1
173;"2022-06-22";22;6;"June";2;2022;2;"Wednesday";0;0
174;"2022-06-23";23;6;"June";2;2022;3;"Thursday";0;1
175;"2022-06-24";24;6;"June";2;2022;4;"Friday";0;1
176;"2022-06-25";25;6;"June";2;2022;5;"Saturday";1;0
177;"2022-06-26";26;6;"June";2;2022;6;"Sunday";1;0
178;"2022-06-27";27;6;"June";2;2022;0;"Monday";0;1
179;"2022-06-28";28;6;"June";2;2022;1;"Tuesday";0;0
180;"2022-06-29";29;6;"June";2;2022;2;"Wednesday";0;0
181;"2022-06-30";30;6;"June";2;2022;3;"Thursday";0;0
182;"2022-07-01";1;7;"July";3;2022;4;"Friday";0;0
183;"2022-07-02";2;7;"July";3;2022;5;"Saturday";1;0
184;"2022-07-03";3;7;"July";3;2022;6;"Sunday";1;0
185;"2022-07-04";4;7;"July";3;2022;0;"Monday";0;0
186;"2022-07-05";5;7;"July";3;2022;1;"Tuesday";0;0
187;"2022-07-06";6;7;"July";3;2022;2;"Wednesday";0;0
188;"2022-07-07";7;7;"July";3;2022;3;"Thursday";0;0
189;"2022-07-08";8;7;"July";3;2022;4;"Friday";0;0
190;"2022-07-09";9;7;"July";3;2022;5;"Saturday";1;0
191;"2022-07-10";10;7;"July";3;2022;6;"Sunday";1;0
192;"2022-07-11";11;7;"July";3;2022;0;"Monday";0;0
193;"2022-07-12";12;7;"July";3;2022;1;"Tuesday";0;0
194;"2022-07-13";13;7;"July";3;2022;2;"Wednesday";0;0
195;"2022-07-14";14;7;"July";3;2022;3;"Thursday";0;0
196;"2022-07-15";15;7;"July";3;2022;4;"Friday";0;0
197;"2022-07-16";16;7;"July";3;2022;5;"Saturday";1;0
198;"2022-07-17";17;7;"July";3;2022;6;"Sunday";1;1
199;"2022-07-18";18;7;"July";3;2022;0;"Monday";0;0
200;"2022-07-19";19;7;"July";3;2022;1;"Tuesday";0;0
201;"2022-07-20";20;7;"July";3;2022;2;"Wednesday";0;0
202;"2022-07-21";21;7;"July";3;2022;3;"Thursday";0;0
203;"2022-07-22";22;7;"July";3;2022;4;"Friday";0;0
204;"2022-07-23";23;7;"July";3;2022;5;"Saturday";1;0
205;"2022-07-24";24;7;"July";3;2022;6;"Sunday";1;0
206;"2022-07-25";25;7;"July";3;2022;0;"Monday";0;0
207;"2022-07-26";26;7;"July";3;2022;1;"Tuesday";0;0
208;"2022-07-27";27;7;"July";3;2022;2;"Wednesday";0;0
209;"2022-07-28";28;7;"July";3;2022;3;"Thursday";0;0
210;"2022-07-29";29;7;"July";3;2022;4;"Friday";0;0
211;"2022-07-30";30;7;"July";3;2022;5;"Saturday";1;0
212;"2022-07-31";31;7;"July";3;2022;6;"Sunday";1;0
213;"2022-08-01";1;8;"August";3;2022;0;"Monday";0;0
214;"2022-08-02";2;8;"August";3;2022;1;"Tuesday";0;0
215;"2022-08-03";3;8;"August";3;2022;2;"Wednesday";0;0
216;"2022-08-04";4;8;"August";3;2022;3;"Thursday";0;0
217;"2022-08-05";5;8;"August";3;2022;4;"Friday";0;0
218;"2022-08-06";6;8;"August";3;2022;5;"Saturday";1;0
219;"2022-08-07";7;8;"August";3;2022;6;"Sunday";1;0
220;"2022-08-08";8;8;"August";3;2022;0;"Monday";0;0
221;"2022-08-09";9;8;"August";3;2022;1;"Tuesday";0;0
222;"2022-08-10";10;8;"August";3;2022;2;"Wednesday";0;0
223;"2022-08-11";11;8;"August";3;2022;3;"Thursday";0;1
224;"2022-08-12";12;8;"August";3;2022;4;"Friday";0;0
225;"2022-08-13";13;8;"August";3;2022;5;"Saturday";1;0
226;"2022-08-14";14;8;"August";3;2022;6;"Sunday";1;0
227;"2022-08-15";15;8;"August";3;2022;0;"Monday";0;0
228;"2022-08-16";16;8;"August";3;2022;1;"Tuesday";0;0
229;"2022-08-17";17;8;"August";3;2022;2;"Wednesday";0;0
230;"2022-08-18";18;8;"August";3;2022;3;"Thursday";0;0
231;"2022-08-19";19;8;"August";3;2022;4;"Friday";0;0
232;"2022-08-20";20;8;"August";3;2022;5;"Saturday";1;1
233;"2022-08-21";21;8;"August";3;2022;6;"Sunday";1;0
234;"2022-08-22";22;8;"August";3;2022;0;"Monday";0;1
235;"2022-08-23";23;8;"August";3;2022;1;"Tuesday";0;0
236;"2022-08-24";24;8;"August";3;2022;2;"Wednesday";0;0
237;"2022-08-25";25;8;"August";3;2022;3;"Thursday";0;0
238;"2022-08-26";26;8;"August";3;2022;4;"Friday";0;0
239;"2022-08-27";27;8;"August";3;2022;5;"Saturday";1;0
240;"2022-08-28";28;8;"August";3;2022;6;"Sunday";1;0
241;"2022-08-29";29;8;"August";3;2022;0;"Monday";0;0
242;"2022-08-30";30;8;"August";3;2022;1;"Tuesday";0;0
243;"2022-08-31";31;8;"August";3;2022;2;"Wednesday";0;0
244;"2022-09-01";1;9;"September";3;2022;3;"Thursday";0;0
245;"2022-09-02";2;9;"September";3;2022;4;"Friday";0;0
246;"2022-09-03";3;9;"September";3;2022;5;"Saturday";1;0
247;"2022-09-04";4;9;"September";3;2022;6;"Sunday";1;0
248;"2022-09-05";5;9;"September";3;2022;0;"Monday";0;0
249;"2022-09-06";6;9;"September";3;2022;1;"Tuesday";0;0
250;"2022-09-07";7;9;"September";3;2022;2;"Wednesday";0;0
251;"2022-09-08";8;9;"September";3;2022;3;"Thursday";0;0
252;"2022-09-09";9;9;"September";3;2022;4;"Friday";0;1
253;"2022-09-10";10;9;"September";3;2022;5;"Saturday";1;0
254;"2022-09-11";11;9;"September";3;2022;6;"Sunday";1;0
255;"2022-09-12";12;9;"September";3;2022;0;"Monday";0;0
256;"2022-09-13";13;9;"September";3;2022;1;"Tuesday";0;1
257;"2022-09-14";14;9;"September";3;2022;2;"Wednesday";0;0
258;"2022-09-15";15;9;"September";3;2022;3;"Thursday";0;0
259;"2022-09-16";16;9;"September";3;2022;4;"Friday";0;0
260;"2022-09-17";17;9;"September";3;2022;5;"Saturday";1;0
261;"2022-09-18";18;9;"September";3;2022;6;"Sunday";1;0
262;"2022-09-19";19;9;"September";3;2022;0;"Monday";0;0
263;"2022-09-20";20;9;"September";3;2022;1;"Tuesday";0;0
264;"2022-09-21";21;9;"September";3;2022;2;"Wednesday";0;0
265;"2022-09-22";22;9;"September";3;2022;3;"Thursday";0;0
266;"2022-09-23";23;9;"September";3;2022;4;"Friday";0;0
267;"2022-09-24";24;9;"September";3;2022;5;"Saturday";1;0
268;"2022-09-25";25;9;"September";3;2022;6;"Sunday";1;0
269;"2022-09-26";26;9;"September";3;2022;0;"Monday";0;0
270;"2022-09-27";27;9;"September";3;2022;1;"Tuesday";0;0
271;"2022-09-28";28;9;"September";3;2022;2;"Wednesday";0;0
272;"2022-09-29";29;9;"September";3;2022;3;"Thursday";0;0
273;"2022-09-30";30;9;"September";3;2022;4;"Friday";0;0
274;"2022-10-01";1;10;"October";4;2022;5;"Saturday";1;0
275;"2022-10-02";2;10;"October";4;2022;6;"Sunday";1;0
276;"2022-10-03";3;10;"October";4;2022;0;"Monday";0;0
277;"2022-10-04";4;10;"October";4;2022;1;"Tuesday";0;0
278;"2022-10-05";5;10;"October";4;2022;2;"Wednesday";0;0
279;"2022-10-06";6;10;"October";4;2022;3;"Thursday";0;0
280;"2022-10-07";7;10;"October";4;2022;4;"Friday";0;0
281;"2022-10-08";8;10;"October";4;2022;5;"Saturday";1;0
282;"2022-10-09";9;10;"October";4;2022;6;"Sunday";1;0
283;"2022-10-10";10;10;"October";4;2022;0;"Monday";0;0
284;"2022-10-11";11;10;"October";4;2022;1;"Tuesday";0;0
285;"2022-10-12";12;10;"October";4;2022;2;"Wednesday";0;0
286;"2022-10-13";13;10;"October";4;2022;3;"Thursday";0;0
287;"2022-10-14";14;10;"October";4;2022;4;"Friday";0;0
288;"2022-10-15";15;10;"October";4;2022;5;"Saturday";1;0
289;"2022-10-16";16;10;"October";4;2022;6;"Sunday";1;0
290;"2022-10-17";17;10;"October";4;2022;0;"Monday";0;0
291;"2022-10-18";18;10;"October";4;2022;1;"Tuesday";0;0
292;"2022-10-19";19;10;"October";4;2022;2;"Wednesday";0;0
293;"2022-10-20";20;10;"October";4;2022;3;"Thursday";0;0
294;"2022-10-21";21;10;"October";4;2022;4;"Friday";0;0
295;"2022-10-22";22;10;"October";4;2022;5;"Saturday";1;1
296;"2022-10-23";23;10;"October";4;2022;6;"Sunday";1;1
297;"2022-10-24";24;10;"October";4;2022;0;"Monday";0;1
298;"2022-10-25";25;10;"October";4;2022;1;"Tuesday";0;0
299;"2022-10-26";26;10;"October";4;2022;2;"Wednesday";0;0
300;"2022-10-27";27;10;"October";4;2022;3;"Thursday";0;0
301;"2022-10-28";28;10;"October";4;2022;4;"Friday";0;0
302;"2022-10-29";29;10;"October";4;2022;5;"Saturday";1;0
303;"2022-10-30";30;10;"October";4;2022;6;"Sunday";1;1
304;"2022-10-31";31;10;"October";4;2022;0;"Monday";0;0
305;"2022-11-01";1;11;"November";4;2022;1;"Tuesday";0;0
306;"2022-11-02";2;11;"November";4;2022;2;"Wednesday";0;0
307;"2022-11-03";3;11;"November";4;2022;3;"Thursday";0;0
308;"2022-11-04";4;11;"November";4;2022;4;"Friday";0;0
309;"2022-11-05";5;11;"November";4;2022;5;"Saturday";1;0
310;"2022-11-06";6;11;"November";4;2022;6;"Sunday";1;0
311;"2022-11-07";7;11;"November";4;2022;0;"Monday";0;0
312;"2022-11-08";8;11;"November";4;2022;1;"Tuesday";0;0
313;"2022-11-09";9;11;"November";4;2022;2;"Wednesday";0;0
314;"2022-11-10";10;11;"November";4;2022;3;"Thursday";0;0
315;"2022-11-11";11;11;"November";4;2022;4;"Friday";0;0
316;"2022-11-12";12;11;"November";4;2022;5;"Saturday";1;0
317;"2022-11-13";13;11;"November";4;2022;6;"Sunday";1;0
318;"2022-11-14";14;11;"November";4;2022;0;"Monday";0;0
319;"2022-11-15";15;11;"November";4;2022;1;"Tuesday";0;0
320;"2022-11-16";16;11;"November";4;2022;2;"Wednesday";0;0
321;"2022-11-17";17;11;"November";4;2022;3;"Thursday";0;0
322;"2022-11-18";18;11;"November";4;2022;4;"Friday";0;0
323;"2022-11-19";19;11;"November";4;2022;5;"Saturday";1;0
324;"2022-11-20";20;11;"November";4;2022;6;"Sunday";1;0
325;"2022-11-21";21;11;"November";4;2022;0;"Monday";0;0
326;"2022-11-22";22;11;"November";4;2022;1;"Tuesday";0;0
327;"2022-11-23";23;11;"November";4;2022;2;"Wednesday";0;0
328;"2022-11-24";24;11;"November";4;2022;3;"Thursday";0;0
329;"2022-11-25";25;11;"November";4;2022;4;"Friday";0;0
330;"2022-11-26";26;11;"November";4;2022;5;"Saturday";1;0
331;"2022-11-27";27;11;"November";4;2022;6;"Sunday";1;0
332;"2022-11-28";28;11;"November";4;2022;0;"Monday";0;0
333;"2022-11-29";29;11;"November";4;2022;1;"Tuesday";0;0
334;"2022-11-30";30;11;"November";4;2022;2;"Wednesday";0;0
335;"2022-12-01";1;12;"December";4;2022;3;"Thursday";0;0
336;"2022-12-02";2;12;"December";4;2022;4;"Friday";0;0
337;"2022-12-03";3;12;"December";4;2022;5;"Saturday";1;0
338;"2022-12-04";4;12;"December";4;2022;6;"Sunday";1;0
339;"2022-12-05";5;12;"December";4;2022;0;"Monday";0;0
340;"2022-12-06";6;12;"December";4;2022;1;"Tuesday";0;0
341;"2022-12-07";7;12;"December";4;2022;2;"Wednesday";0;0
342;"2022-12-08";8;12;"December";4;2022;3;"Thursday";0;0
343;"2022-12-09";9;12;"December";4;2022;4;"Friday";0;0
344;"2022-12-10";10;12;"December";4;2022;5;"Saturday";1;0
345;"2022-12-11";11;12;"December";4;2022;6;"Sunday";1;1
346;"2022-12-12";12;12;"December";4;2022;0;"Monday";0;0
347;"2022-12-13";13;12;"December";4;2022;1;"Tuesday";0;0
348;"2022-12-14";14;12;"December";4;2022;2;"Wednesday";0;0
349;"2022-12-15";15;12;"December";4;2022;3;"Thursday";0;0
350;"2022-12-16";16;12;"December";4;2022;4;"Friday";0;1
351;"2022-12-17";17;12;"December";4;2022;5;"Saturday";1;0
352;"2022-12-18";18;12;"December";4;2022;6;"Sunday";1;1
353;"2022-12-19";19;12;"December";4;2022;0;"Monday";0;0
354;"2022-12-20";20;12;"December";4;2022;1;"Tuesday";0;0
355;"2022-12-21";21;12;"December";4;2022;2;"Wednesday";0;0
356;"2022-12-22";22;12;"December";4;2022;3;"Thursday";0;0
357;"2022-12-23";23;12;"December";4;2022;4;"Friday";0;0
358;"2022-12-24";24;12;"December";4;2022;5;"Saturday";1;0
359;"2022-12-25";25;12;"December";4;2022;6;"Sunday";1;0
360;"2022-12-26";26;12;"December";4;2022;0;"Monday";0;0
361;"2022-12-27";27;12;"December";4;2022;1;"Tuesday";0;0
362;"2022-12-28";28;12;"December";4;2022;2;"Wednesday";0;0
363;"2022-12-29";29;12;"December";4;2022;3;"Thursday";0;0
364;"2022-12-30";30;12;"December";4;2022;4;"Friday";0;0
365;"2022-12-31";31;12;"December";4;2022;5;"Saturday";1;0
